车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
GMC Acadia,ICE,SUV-D,6872, Acadia,15,3484
起亚 K5,ICE,Car-D,6072, K5,14,1998
日产 Armada,ICE,SUV-D,1798, Armada,14,644
#N/A,#N/A,#N/A,#N/A, Econoline,14,1693
梅赛德斯-奔驰  E-Class,ICE,Car-E,1210, E-Class,13,389
现代 Palisade,ICE,SUV-D,5873, Palisade,12,2529
#N/A,#N/A,#N/A,#N/A, Xterra,12,1729
马自达 CX-9,ICE,SUV-D,863, CX-9,12,2603
#N/A,#N/A,#N/A,#N/A, Taurus,12,2007
#N/A,#N/A,#N/A,#N/A, Taurus,12,2007
#N/A,#N/A,#N/A,#N/A, Taurus,12,2007
#N/A,#N/A,#N/A,#N/A, RZR,12,3168
奥迪 Audi A4,ICE,Car-D,884, Audi A4,11,1636
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,11,131
雪佛兰 Trax (Tracker),ICE,SUV-B,9719, Trax,11,1632
#N/A,#N/A,#N/A,#N/A, Juke,11,1566
宝马 X3,ICE,SUV-D,5070, X3,10,1080
起亚 Rio,ICE,Car-B,2180, Rio,10,1634
#N/A,#N/A,#N/A,#N/A, Fiat 500,10,761
#N/A,#N/A,#N/A,#N/A, Scion,10,1592
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,10,2186
#N/A,#N/A,#N/A,#N/A, Audi A6,10,1490
#N/A,#N/A,#N/A,#N/A, Liberty,10,1690
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,9,2147
大众 VW Atlas,ICE,SUV-D,7863, Atlas,8,1501
马自达 CX-50,ICE,SUV-D,3532, CX-50,8,1512
奥迪 Audi Q5,ICE,SUV-D,5695, Audi Q5,8,1244
#N/A,#N/A,#N/A,#N/A, X2,8,199
别克 Envision,ICE,SUV-C,4192, Envision,8,1391
#N/A,#N/A,#N/A,#N/A, Countryman,8,97
斯巴鲁 WRX,ICE,Car-C,2326, WRX,7,1231
#N/A,#N/A,#N/A,#N/A, Beetle,7,119
Ram  ProMaster,ICE,van,8131, ProMaster,7,1183
Ram  ProMaster City,ICE,van,1222, ProMaster City,7,1183
#N/A,#N/A,#N/A,#N/A, Lexus GS,7,1173
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,6,954
#N/A,#N/A,#N/A,#N/A, Cruze,6,1053
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,6,1026
#N/A,#N/A,#N/A,#N/A, Impala,6,839
#N/A,#N/A,#N/A,#N/A, Impala,6,839
Porsche  Porsche 911,ICE,Car-F,1191, Porsche 911,6,1014
#N/A,#N/A,#N/A,#N/A, X4,5,495
起亚 Telluride,ICE,SUV-D,9534, Telluride,5,1264
#N/A,#N/A,#N/A,#N/A, G35,5,819
雷克萨斯 Lexus GX,ICE,SUV-E,2545, Lexus GX,5,895
#N/A,#N/A,#N/A,#N/A, Honda Fit,5,847
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,4,676
#N/A,#N/A,#N/A,#N/A, Cadillac Lyriq,4,704
#N/A,#N/A,#N/A,#N/A, Chevy Bolt,4,532
Cadillac Cadillac CT5,ICE,Car-E,1784, Cadillac CT5,4,792
丰田 Corolla iM,ICE,Car-C,1493, Corolla iM,4,672
#N/A,#N/A,#N/A,#N/A, Stinger,4,71
#N/A,#N/A,#N/A,#N/A, C Class,3,101
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953, Pacifica,3,507
#N/A,#N/A,#N/A,#N/A, Panamera,3,594
奥迪 Audi Q3,ICE,SUV-C,1928, Audi Q3,3,428
#N/A,#N/A,#N/A,#N/A, EcoSport,3,504
#N/A,#N/A,#N/A,#N/A, G25,2,334
本田 Passport,ICE,SUV-D,3710, Passport,2,393
#N/A,#N/A,#N/A,#N/A, Yaris,2,126
Porsche  Macan,ICE,SUV-D,2784, Macan,2,259
现代 Venue,ICE,SUV-C,2695, Venue,2,203
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587, MKC,2,258
Porsche  Cayenne,ICE,SUV-E,1591, Cayenne,2,338
#N/A,#N/A,#N/A,#N/A, 500X,2,393
#N/A,#N/A,#N/A,#N/A, Patriot,2,381
#N/A,#N/A,#N/A,#N/A, Cobalt,2,379
#N/A,#N/A,#N/A,#N/A, Cobalt,2,379
#N/A,#N/A,#N/A,#N/A, Carnival,1,249
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,1,89
#N/A,#N/A,#N/A,#N/A, Z4,1,169
起亚 EV6,EV,SUV-D,1458, EV6,1,169
#N/A,#N/A,#N/A,#N/A, Chrysler 200,1,129
#N/A,#N/A,#N/A,#N/A, Ariya,1,176
讴歌 Acura TLX,ICE,Car-D,2013, Acura TLX,1,199
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Bolt EUV,1,115
#N/A,#N/A,#N/A,#N/A, Audi Q7,1,89
#N/A,#N/A,#N/A,#N/A, Nitro,1,149
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,1,189
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,1,129
#N/A,#N/A,#N/A,#N/A, Sprinter,1,188
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,1,187
#N/A,#N/A,#N/A,#N/A, Eclipse Cross,1,165
#N/A,#N/A,#N/A,#N/A, Infiniti QX50,1,119
#N/A,#N/A,#N/A,#N/A, Discovery Sport,1,199
#N/A,#N/A,#N/A,#N/A, Audi A7,1,186
#N/A,#N/A,#N/A,#N/A, C10,1,109
#N/A,#N/A,#N/A,#N/A, Jimny,1,68
#N/A,#N/A,#N/A,#N/A, X6,0,0
雷克萨斯 Lexus NX,ICE,SUV-D,5974, Lexus NX,0,0
#N/A,#N/A,#N/A,#N/A, 325i,0,0
#N/A,#N/A,#N/A,#N/A, BRZ,0,0
Rivian R1T,EV,Pickup Truck,3436, R1T,0,0
#N/A,#N/A,#N/A,#N/A, R1S,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,0,0
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,0,0
#N/A,#N/A,#N/A,#N/A, Stelvio,0,0
#N/A,#N/A,#N/A,#N/A, F-Type,0,0
Lincoln Aviator,ICE,SUV-E,237, Aviator,0,0
#N/A,#N/A,#N/A,#N/A, AMG-GT,0,0
#N/A,#N/A,#N/A,#N/A, CLS-Class,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RC,0,0
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,0,0
#N/A,#N/A,#N/A,#N/A, XF,0,0
#N/A,#N/A,#N/A,#N/A, LR4,0,0
#N/A,#N/A,#N/A,#N/A, BMW 7 Series,0,0
英菲尼迪 Infiniti QX80 (QX56),ICE,SUV-E,1019, Infiniti QX80,0,0
#N/A,#N/A,#N/A,#N/A, Mirage,0,0
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC-Class,0,0
宝马 iX,EV,SUV-D,1415, iX,0,0
Genesis Genesis GV70,ICE,SUV-D,1745, Genesis GV70,0,0
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,0,0
梅赛德斯-奔驰  G-Class,ICE,SUV-E,1019, G-Class,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745, Axela,0,0
#N/A,#N/A,#N/A,#N/A, EQB,0,0
#N/A,#N/A,#N/A,#N/A, Land Cruiser,0,0
#N/A,#N/A,#N/A,#N/A, Ford GT,0,0
#N/A,#N/A,#N/A,#N/A, Ford F-Series,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante ,0,0
起亚 SELTOS,ICE,SUV-C,5652, SELTOS,0,0
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE-Class,0,0
吉普  Wagoneer (Jeep ),ICE,SUV-E,3015, Wagoneer,0,0
讴歌 Integra ,ICE,Car-C,2608, Integra,0,0
宝马 BMW X7,ICE,SUV-E,2561, BMW X7,0,0
宝马 BMW i4,EV,Car-E,2131, BMW i4,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante,0,0
雪佛兰 Chevrolet Bolt EUV,EV,SUV-C,3318, Chevrolet Bolt,0,0
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,0,0
雷克萨斯 Lexus IS,ICE,Car-D,1827, Lexus IS,0,0
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,0,0
梅赛德斯-奔驰  GLA-Class,ICE,SUV-C,1673, GLA-Class,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300 series,0,0
#N/A,#N/A,#N/A,#N/A, C40 Recharge,0,0
#N/A,#N/A,#N/A,#N/A, CX-90,0,0
Genesis Genesis GV80,ICE,SUV-E,1506, Genesis GV80,0,0
Genesis Genesis G70,ICE,Car-D,1353, Genesis G70,0,0
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,0,0
#N/A,#N/A,#N/A,#N/A, Grand Wagoneer,0,0
#N/A,#N/A,#N/A,#N/A, IONIQ 6,0,0
#N/A,#N/A,#N/A,#N/A, Dodge Hornet,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS SUV,0,0
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,0,0
#N/A,#N/A,#N/A,#N/A, EQE SUV,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac CT4,0,0
#N/A,#N/A,#N/A,#N/A, CLA-Class,0,0
梅赛德斯-奔驰  EQS SUV,EV,SUV-E,1015, EQS,0,0
#N/A,#N/A,#N/A,#N/A, Genesis G80,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q8 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q4 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Rivian EDV,0,0
#N/A,#N/A,#N/A,#N/A, bZ4X,0,0
#N/A,#N/A,#N/A,#N/A, Taycan,0,0
#N/A,#N/A,#N/A,#N/A, Lucid Air,0,0
#N/A,#N/A,#N/A,#N/A, Solterra,0,0
#N/A,#N/A,#N/A,#N/A, EQE,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Velar,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LX,0,0
#N/A,#N/A,#N/A,#N/A, MIRAI,0,0
#N/A,#N/A,#N/A,#N/A, BMW 8 Series,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti QX55,0,0
#N/A,#N/A,#N/A,#N/A, Boxster/Cayman,0,0
#N/A,#N/A,#N/A,#N/A, F-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MINI Convertible,0,0
#N/A,#N/A,#N/A,#N/A, Grecale,0,0
#N/A,#N/A,#N/A,#N/A, VF8,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron GT,0,0
#N/A,#N/A,#N/A,#N/A, SL-Class,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Evoque,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo GIULIA,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RZ,0,0
#N/A,#N/A,#N/A,#N/A, Genesis GV60,0,0
#N/A,#N/A,#N/A,#N/A, MINI Clubman,0,0
#N/A,#N/A,#N/A,#N/A, Arteon,0,0
#N/A,#N/A,#N/A,#N/A, Audi A8,0,0
#N/A,#N/A,#N/A,#N/A, BMW XM,0,0
#N/A,#N/A,#N/A,#N/A, BMW i7,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LS,0,0
#N/A,#N/A,#N/A,#N/A, Nissan Z,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LC,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Genesis EQ900,0,0
丰田 Grand Highlander,HV,SUV-D,159, Grand Highlander,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti Q60,0,0
#N/A,#N/A,#N/A,#N/A, Tonale,0,0
#N/A,#N/A,#N/A,#N/A, Audi TT,0,0
#N/A,#N/A,#N/A,#N/A, Class 3,0,0
#N/A,#N/A,#N/A,#N/A, E-Pace,0,0
#N/A,#N/A,#N/A,#N/A, Audi R8,0,0
#N/A,#N/A,#N/A,#N/A, GT-R,0,0
#N/A,#N/A,#N/A,#N/A, Hummer Pickup,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Stradale,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Spider,0,0
#N/A,#N/A,#N/A,#N/A, I-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MX-30,0,0
#N/A,#N/A,#N/A,#N/A, Nexo,0,0
#N/A,#N/A,#N/A,#N/A, Ferrari 296,0,0
#N/A,#N/A,#N/A,#N/A, A-Class,0,0
#N/A,#N/A,#N/A,#N/A, Zevo 600,0,0
#N/A,#N/A,#N/A,#N/A, Polestar 1,0,0
#N/A,#N/A,#N/A,#N/A, Ram Cargo,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200 Series,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo 4C,0,0
#N/A,#N/A,#N/A,#N/A, GS-6,0,0
#N/A,#N/A,#N/A,#N/A, Fiat 500L,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Electric,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Fuel Cell,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Plug In,0,0
#N/A,#N/A,#N/A,#N/A, Acura RLX,0,0
#N/A,#N/A,#N/A,#N/A, NSX,0,0
#N/A,#N/A,#N/A,#N/A, Revero,0,0
#N/A,#N/A,#N/A,#N/A, TRX400,0,0
#N/A,#N/A,#N/A,#N/A, TRX450,0,0
#N/A,#N/A,#N/A,#N/A, Lancer,0,0
#N/A,#N/A,#N/A,#N/A, 2002-2009 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, 1994-2001 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, Caprice,0,0
#N/A,#N/A,#N/A,#N/A, C30,0,0
#N/A,#N/A,#N/A,#N/A, Sebring,0,0
#N/A,#N/A,#N/A,#N/A, Cascadia,0,0
#N/A,#N/A,#N/A,#N/A, 3-Series,0,0
#N/A,#N/A,#N/A,#N/A, Avenger,0,0
#N/A,#N/A,#N/A,#N/A, VHD,0,0
#N/A,#N/A,#N/A,#N/A, VNL,0,0
#N/A,#N/A,#N/A,#N/A, Matrix,0,0
#N/A,#N/A,#N/A,#N/A, 5-Series,0,0
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
