车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,163,13161,0,0,7,826,0,0,122,8155,33,3901,0,0
奥迪 Audi Q8,ICE,SUV-E,1282, Audi Q8,103,12961,0,0,10,1748,0,0,17,1343,76,9870,0,0
未知品牌车型,未知动力,未知车种,未知销量, Flex,226,12912,0,0,0,0,0,0,136,918,90,11994,0,0
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,129,12855,0,0,0,0,0,0,31,1858,98,10997,0,0
丰田 Venza,HV,SUV-D,2384, Venza,120,12639,6,479,31,3184,0,0,24,2253,59,6723,0,0
未知品牌车型,未知动力,未知车种,未知销量, Countryman,215,12516,0,0,24,1146,0,0,8,528,183,10842,0,0
梅赛德斯-奔驰  GLB,ICE,SUV-D,1191, GLB,138,12451,0,0,5,682,0,0,43,2571,90,9198,0,0
Cadillac Cadillac XT4,ICE,SUV-C,1857, Cadillac XT4,92,11903,6,419,10,1154,0,0,8,479,67,9653,0,0
未知品牌车型,未知动力,未知车种,未知销量, Cruiser,118,11805,0,0,26,1819,0,0,50,5527,37,3890,0,0
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,109,11536,51,4589,7,1678,0,0,1,89,50,5180,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,82,11289,0,0,0,0,0,0,5,619,75,10273,0,0
别克 Encore GX,ICE,SUV-C,6316, Encore GX,110,11288,0,0,8,1488,0,0,28,1648,74,8152,0,0
未知品牌车型,未知动力,未知车种,未知销量, G35,232,10941,0,0,0,0,0,0,0,0,232,10941,0,0
未知品牌车型,未知动力,未知车种,未知销量, Journey,111,10884,0,0,16,1218,0,0,0,0,95,9666,0,0
福特 Ford E-Series,ICE,van,2820, E-Series,77,10799,0,0,0,0,0,0,0,0,77,10799,0,0
未知品牌车型,未知动力,未知车种,未知销量, RAV-4,183,10714,0,0,0,0,0,0,183,10714,0,0,0,0
讴歌 Acura TLX,ICE,Car-D,2013, Acura TLX,75,10703,0,0,0,0,0,0,5,619,68,9687,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti Q50,84,10611,0,0,3,269,0,0,0,0,79,10104,0,0
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Nautilus,81,9980,0,0,3,658,0,0,15,1975,63,7347,0,0
未知品牌车型,未知动力,未知车种,未知销量, Econoline,71,9960,0,0,0,0,0,0,0,0,71,9960,0,0
梅赛德斯-奔驰  E-Class,ICE,Car-E,1210, E-Class,114,9949,0,0,0,0,0,0,5,714,109,9235,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,89,9719,0,0,0,0,0,0,0,0,89,9719,0,0
未知品牌车型,未知动力,未知车种,未知销量, Stinger,88,9639,0,0,0,0,0,0,42,2747,43,6296,0,0
未知品牌车型,未知动力,未知车种,未知销量, G25,219,9477,0,0,0,0,0,0,0,0,219,9477,0,0
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,90,9275,0,0,0,0,0,0,7,909,83,8366,0,0
未知品牌车型,未知动力,未知车种,未知销量, Impala,85,9107,0,0,0,0,0,0,5,599,80,8508,0,0
未知品牌车型,未知动力,未知车种,未知销量, Impala,85,9107,0,0,0,0,0,0,5,599,80,8508,0,0
Lincoln Aviator,ICE,SUV-E,237, Aviator,93,8785,0,0,18,1241,0,0,38,3128,35,3857,0,0
Lincoln Lincoln MKC/Corsair,ICE,SUV-C,2587, MKC,89,8708,0,0,18,921,0,0,2,119,69,7668,0,0
未知品牌车型,未知动力,未知车种,未知销量, Hummer,53,8644,0,0,0,0,0,0,0,0,53,8644,0,0
未知品牌车型,未知动力,未知车种,未知销量, EQB,167,8407,0,0,131,6416,0,0,0,0,36,1991,0,0
未知品牌车型,未知动力,未知车种,未知销量, Infiniti QX50,94,8226,0,0,13,2159,0,0,63,3684,16,2145,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,198,16544,0,0,0,0,0,0,28,1680,170,14864,0,0
未知品牌车型,未知动力,未知车种,未知销量, Matrix,202,7500,0,0,0,0,0,0,152,1062,50,6438,0,0
