车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
#N/A,#N/A,#N/A,#N/A, Range Rover Velar,4,359
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,3,269
Polestar Polestar 2,EV,Car-D,1117, Polestar 2,3,179
#N/A,#N/A,#N/A,#N/A, LR4,3,235
#N/A,#N/A,#N/A,#N/A, X2,3,239
雷克萨斯 Lexus UX,HV,SUV-C,1012, Lexus UX,3,266
#N/A,#N/A,#N/A,#N/A, EcoSport,3,398
#N/A,#N/A,#N/A,#N/A, C-HR,2,119
丰田 Crown,HV,Car-E,1177, Crown,2,179
#N/A,#N/A,#N/A,#N/A, Audi A7,2,120
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,1,110
#N/A,#N/A,#N/A,#N/A, BRZ,1,72
#N/A,#N/A,#N/A,#N/A, Fiat 500,1,64
梅赛德斯-奔驰  GLS-Class (GL-Class),ICE,SUV-E,1842, GLS-Class,1,274
三菱 RVR (ASX/Outlander Sport),ICE,SUV-C,1756, RVR,1,31
#N/A,#N/A,#N/A,#N/A, EQE,1,115
#N/A,#N/A,#N/A,#N/A, F250,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,0,0
#N/A,#N/A,#N/A,#N/A, Crosstrek,0,0
日产 Frontier (Navara),ICE,Pickup Truck,5072, Frontier,0,0
#N/A,#N/A,#N/A,#N/A, C Class,0,0
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,0,0
#N/A,#N/A,#N/A,#N/A, E150,0,0
#N/A,#N/A,#N/A,#N/A, RX350,0,0
GMC Canyon,ICE,Pickup Truck,3496, Canyon,0,0
#N/A,#N/A,#N/A,#N/A, Flex,0,0
#N/A,#N/A,#N/A,#N/A, Optima,0,0
#N/A,#N/A,#N/A,#N/A, G35,0,0
#N/A,#N/A,#N/A,#N/A, G25,0,0
#N/A,#N/A,#N/A,#N/A, 325i,0,0
#N/A,#N/A,#N/A,#N/A, Carnival,0,0
日产 Maxima,ICE,Car-E,1547, Maxima,0,0
#N/A,#N/A,#N/A,#N/A, IS350,0,0
#N/A,#N/A,#N/A,#N/A, IS250,0,0
梅赛德斯-奔驰  C-Class,ICE,Car-D,2845, C-Class,0,0
#N/A,#N/A,#N/A,#N/A, Xterra,0,0
#N/A,#N/A,#N/A,#N/A, HRV,0,0
宝马 4 Series,ICE,Car-D,2136, 4 Series,0,0
#N/A,#N/A,#N/A,#N/A, IS300,0,0
#N/A,#N/A,#N/A,#N/A, Insight,0,0
#N/A,#N/A,#N/A,#N/A, F-Type,0,0
#N/A,#N/A,#N/A,#N/A, Fusion,0,0
#N/A,#N/A,#N/A,#N/A, Hummer,0,0
梅赛德斯-奔驰  S-Class,ICE,Car-F,1044, S-Class,0,0
#N/A,#N/A,#N/A,#N/A, AMG-GT,0,0
#N/A,#N/A,#N/A,#N/A, CLS-Class,0,0
#N/A,#N/A,#N/A,#N/A, Juke,0,0
#N/A,#N/A,#N/A,#N/A, Panamera,0,0
#N/A,#N/A,#N/A,#N/A, Focus,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RC,0,0
#N/A,#N/A,#N/A,#N/A, XF,0,0
#N/A,#N/A,#N/A,#N/A, Cruze,0,0
#N/A,#N/A,#N/A,#N/A, BMW 7 Series,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac Lyriq,0,0
#N/A,#N/A,#N/A,#N/A, Mirage,0,0
#N/A,#N/A,#N/A,#N/A, Veloster,0,0
#N/A,#N/A,#N/A,#N/A, TSX,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200,0,0
GMC Savana,ICE,van,2560, Savana,0,0
起亚 Sedona (Carnival),ICE,MPV,4431, Sedona ,0,0
#N/A,#N/A,#N/A,#N/A, Ariya,0,0
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,0,0
#N/A,#N/A,#N/A,#N/A, Honda Fit,0,0
#N/A,#N/A,#N/A,#N/A, Chevy Bolt,0,0
#N/A,#N/A,#N/A,#N/A, Mazda 6,0,0
#N/A,#N/A,#N/A,#N/A, Yaris,0,0
#N/A,#N/A,#N/A,#N/A, Nitro,0,0
日产 Nissan Versa,ICE,Car-C,1402, Nissan Versa,0,0
马自达 Axela (Mazda 3),ICE,Car-C,2745, Axela,0,0
#N/A,#N/A,#N/A,#N/A, EQB,0,0
#N/A,#N/A,#N/A,#N/A, Element,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
#N/A,#N/A,#N/A,#N/A, Impala,0,0
#N/A,#N/A,#N/A,#N/A, SRX,0,0
#N/A,#N/A,#N/A,#N/A, Accent,0,0
#N/A,#N/A,#N/A,#N/A, Scion,0,0
#N/A,#N/A,#N/A,#N/A, Ford GT,0,0
#N/A,#N/A,#N/A,#N/A, Ford F-Series,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante ,0,0
#N/A,#N/A,#N/A,#N/A, Sprinter,0,0
起亚 SELTOS,ICE,SUV-C,5652, SELTOS,0,0
雪佛兰 Chevrolet Express,ICE,van,3290, Chevrolet Express,0,0
福特 Ford E-Series,ICE,van,2820, E-Series,0,0
#N/A,#N/A,#N/A,#N/A, E-150,0,0
奥迪 Audi A5,ICE,Car-D,2283, Audi A5,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Avante,0,0
Cadillac Cadillac XT6,ICE,SUV-E,1867, Cadillac XT6,0,0
雷克萨斯 Lexus IS,ICE,Car-D,1827, Lexus IS,0,0
Cadillac Cadillac CT5,ICE,Car-E,1784, Cadillac CT5,0,0
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300 series,0,0
丰田 Corolla iM,ICE,Car-C,1493, Corolla iM,0,0
Genesis Genesis G70,ICE,Car-D,1353, Genesis G70,0,0
Porsche  Porsche 911,ICE,Car-F,1191, Porsche 911,0,0
#N/A,#N/A,#N/A,#N/A, Dodge Hornet,0,0
#N/A,#N/A,#N/A,#N/A, 2 Series,0,0
#N/A,#N/A,#N/A,#N/A, Eclipse Cross,0,0
#N/A,#N/A,#N/A,#N/A, EQE SUV,0,0
#N/A,#N/A,#N/A,#N/A, Cadillac CT4,0,0
#N/A,#N/A,#N/A,#N/A, CLA-Class,0,0
#N/A,#N/A,#N/A,#N/A, Genesis G80,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q8 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Audi Q4 e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Rivian EDV,0,0
#N/A,#N/A,#N/A,#N/A, bZ4X,0,0
#N/A,#N/A,#N/A,#N/A, Audi A6,0,0
#N/A,#N/A,#N/A,#N/A, Lucid Air,0,0
#N/A,#N/A,#N/A,#N/A, Solterra,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LX,0,0
#N/A,#N/A,#N/A,#N/A, MIRAI,0,0
#N/A,#N/A,#N/A,#N/A, BMW 8 Series,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti QX55,0,0
#N/A,#N/A,#N/A,#N/A, Boxster/Cayman,0,0
#N/A,#N/A,#N/A,#N/A, MINI Convertible,0,0
#N/A,#N/A,#N/A,#N/A, Grecale,0,0
#N/A,#N/A,#N/A,#N/A, VF8,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron GT,0,0
#N/A,#N/A,#N/A,#N/A, SL-Class,0,0
#N/A,#N/A,#N/A,#N/A, Range Rover Evoque,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo GIULIA,0,0
#N/A,#N/A,#N/A,#N/A, Lexus RZ,0,0
#N/A,#N/A,#N/A,#N/A, Genesis GV60,0,0
#N/A,#N/A,#N/A,#N/A, MINI Clubman,0,0
#N/A,#N/A,#N/A,#N/A, Arteon,0,0
#N/A,#N/A,#N/A,#N/A, Audi A8,0,0
#N/A,#N/A,#N/A,#N/A, BMW XM,0,0
#N/A,#N/A,#N/A,#N/A, BMW i7,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LS,0,0
#N/A,#N/A,#N/A,#N/A, Nissan Z,0,0
#N/A,#N/A,#N/A,#N/A, Lexus LC,0,0
#N/A,#N/A,#N/A,#N/A, Audi e-tron,0,0
#N/A,#N/A,#N/A,#N/A, Genesis EQ900,0,0
丰田 Grand Highlander,HV,SUV-D,159, Grand Highlander,0,0
#N/A,#N/A,#N/A,#N/A, Infiniti Q60,0,0
#N/A,#N/A,#N/A,#N/A, Tonale,0,0
#N/A,#N/A,#N/A,#N/A, Audi TT,0,0
#N/A,#N/A,#N/A,#N/A, Class 3,0,0
#N/A,#N/A,#N/A,#N/A, 500X,0,0
#N/A,#N/A,#N/A,#N/A, E-Pace,0,0
#N/A,#N/A,#N/A,#N/A, Audi R8,0,0
#N/A,#N/A,#N/A,#N/A, GT-R,0,0
#N/A,#N/A,#N/A,#N/A, Hummer Pickup,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Stradale,0,0
#N/A,#N/A,#N/A,#N/A, SF90 Spider,0,0
#N/A,#N/A,#N/A,#N/A, I-Pace,0,0
#N/A,#N/A,#N/A,#N/A, MX-30,0,0
#N/A,#N/A,#N/A,#N/A, Nexo,0,0
#N/A,#N/A,#N/A,#N/A, Ferrari 296,0,0
#N/A,#N/A,#N/A,#N/A, A-Class,0,0
#N/A,#N/A,#N/A,#N/A, Spark,0,0
#N/A,#N/A,#N/A,#N/A, Zevo 600,0,0
#N/A,#N/A,#N/A,#N/A, Polestar 1,0,0
#N/A,#N/A,#N/A,#N/A, Lexus GS,0,0
#N/A,#N/A,#N/A,#N/A, Ram Cargo,0,0
#N/A,#N/A,#N/A,#N/A, Chrysler 200 Series,0,0
#N/A,#N/A,#N/A,#N/A, Alfa Romeo 4C,0,0
#N/A,#N/A,#N/A,#N/A, GS-6,0,0
#N/A,#N/A,#N/A,#N/A, Fiat 500L,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Electric,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Fuel Cell,0,0
#N/A,#N/A,#N/A,#N/A, Clarity Plug In,0,0
#N/A,#N/A,#N/A,#N/A, Acura ILX,0,0
#N/A,#N/A,#N/A,#N/A, Acura RLX,0,0
#N/A,#N/A,#N/A,#N/A, NSX,0,0
#N/A,#N/A,#N/A,#N/A, Revero,0,0
#N/A,#N/A,#N/A,#N/A, TRX400,0,0
#N/A,#N/A,#N/A,#N/A, TRX450,0,0
#N/A,#N/A,#N/A,#N/A, Lancer,0,0
#N/A,#N/A,#N/A,#N/A, C10,0,0
#N/A,#N/A,#N/A,#N/A, Patriot,0,0
#N/A,#N/A,#N/A,#N/A, 2002-2009 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, 2009-2018 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, 1994-2001 Dodge Ram,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Liberty,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, Caprice,0,0
#N/A,#N/A,#N/A,#N/A, C30,0,0
#N/A,#N/A,#N/A,#N/A, Sebring,0,0
#N/A,#N/A,#N/A,#N/A, Cascadia,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, 3-Series,0,0
#N/A,#N/A,#N/A,#N/A, Taurus,0,0
#N/A,#N/A,#N/A,#N/A, Econoline,0,0
#N/A,#N/A,#N/A,#N/A, Cobalt,0,0
#N/A,#N/A,#N/A,#N/A, Fiesta,0,0
#N/A,#N/A,#N/A,#N/A, Avenger,0,0
#N/A,#N/A,#N/A,#N/A, VHD,0,0
#N/A,#N/A,#N/A,#N/A, VNL,0,0
#N/A,#N/A,#N/A,#N/A, Matrix,0,0
#N/A,#N/A,#N/A,#N/A, 5-Series,0,0
#N/A,#N/A,#N/A,#N/A, RZR,0,0
#N/A,#N/A,#N/A,#N/A, Jimny,0,0
#N/A,#N/A,#N/A,#N/A, CX5,0,0
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
,,,, ,,
